Nr.,Name,Score,Date
1,Wiggerl,666,2024-05-17 16:24:26
2,Günter,666,2024-05-17 16:24:43
3,Bernd,666,2024-05-17 16:24:52
4,Joachim,666,2024-05-17 16:25:58
5,Gnu,666,2024-05-17 16:34:40
6,Nils,666,2024-05-17 16:40:00
7,Griaserna,666,2024-05-17 16:44:20
8,Waters,420,2024-05-17 16:03:13
9,Ludwig,420,2024-05-17 16:24:04
10,Siggi,90,2024-05-16 18:01:46
11,Jesus,90,2024-05-17 10:54:47
12,DeinVaterseinKater,90,2024-05-17 10:55:09
13,düdü,90,2024-05-26 13:10:23
14,Hello,69,2024-05-16 17:40:46
15,Hellas,69,2024-05-16 17:56:23
16,Chichi,69,2024-05-16 17:57:02
17,BruckenpeterReini,69,2024-05-17 10:56:26
18,Simsbumms,64,2024-05-17 10:57:05
19,Ruby,64,2024-05-17 15:46:38
20,fdalgjaöjiefajdksllfaskfdjheugaf,56,2024-05-26 14:26:40
21,DirkAndreDeckert,42,2024-05-17 10:55:28
22,BruckenpeterMooox,31,2024-05-17 10:56:00
23,Fridolin,23,2024-05-17 15:49:34
24,Peter,23,2024-05-17 15:53:20
25,Ingo,23,2024-05-17 15:53:35
26,id,22,2024-05-26 13:24:37
27,höjtreöifewqhfpuöqwr3,15,2024-05-26 14:18:46
28,fsdlahjgöasiohf,12,2024-05-26 14:22:57
29,Larissa,11,2024-05-26 11:32:59
30,djaköfjikdasöoihjfiehüiog,11,2024-05-26 13:05:07
31,whenIburn,10,2024-05-26 12:06:38
32,Soft,10,2024-05-26 13:51:43
33,hpot6zurfgkiutz87ot,10,2024-05-26 14:07:23
34,hfjödasjkfdasjk,9,2024-05-26 13:55:12
35,gsdfjäjgasfhjd,8,2024-05-26 14:14:09
36,gerd,7,2024-05-26 12:55:00
37,bernddasbrot,7,2024-05-26 13:01:26
38,hdhsaUJGDZU,7,2024-05-26 14:02:43
39,fgjhköashjköfdhasihgu,7,2024-05-26 14:08:35
40,fadsödshalhfuih,7,2024-05-26 14:14:54
41,bruhhhhhhh,6,2024-05-26 13:53:26
42,jdfaöksjkfda,6,2024-05-26 13:57:50
43,hjklgftkhjiäpjpjoäi,6,2024-05-26 14:04:59
44,fkdölasjkljgeriwh2948741q,5,2024-05-26 13:54:34
45,fadsölfjHBDÖ,5,2024-05-26 14:01:24
46,bhflkjfzjhkfdklhjöli,5,2024-05-26 14:06:39
47,ehwqlhrdl	wieuh	,5,2024-05-26 14:19:20
48,PorianFalter,4,2024-05-26 11:18:22
49,Stromberg,4,2024-05-26 11:42:42
50,gähhoam,4,2024-05-26 13:47:18
51,jdfasöhjfjheikg,3,2024-05-26 13:53:58
52,dfjaöljgdas,3,2024-05-26 14:02:02
53,jfdaöpshgupoasf,3,2024-05-26 14:29:33
54,two,2,2024-05-26 11:35:24
55,one,2,2024-05-26 11:46:49
56,chiaukakau,2,2024-05-26 11:50:42
57,daökljdkföajksdf,2,2024-05-26 12:49:04
58,dfashgpaherufpa,2,2024-05-26 14:29:07
59,kirk,1,2024-05-26 11:34:11
60,nowIseethesun,1,2024-05-26 11:49:16
61,gehschloffa,1,2024-05-26 11:58:25
62,Petra,1,2024-05-26 12:08:14
63,Darknes,1,2024-05-26 12:15:03
64,düdüdüdüdüdüdü,1,2024-05-26 12:18:04
65,holywater,1,2024-05-26 12:19:23
66,grüzi,0,2024-05-17 16:27:28
67,Simon,0,2024-05-26 11:16:10
68,imagine,0,2024-05-26 11:54:32
